University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
United Arab Emirates University,7521,9.70%,90.30%,1559,77.60%,22.40%,822,160,662
Bandung Institute of Technology (ITB),17516,26.20%,73.80%,307,51.10%,48.90%,1874,1579,295
Ewha Womans University,17264,21.80%,78.20%,2785,81.10%,18.90%,2500,2364,136
National Taiwan Normal University,10232,32%,68%,2262,67.80%,32.20%,1359,1251,108
Hiroshima University,15531,29.80%,70.20%,1403,9.60%,90.40%,2204,2064,140
IE University,null,null,null,null,null,null,null,null,null
George Washington University,21087,50%,50%,3744,32%,68%,1730,1461,269
Universitat Politècnica de València,19500,27%,73%,2623,44%,56%,3211,3099,112
Jagiellonian University,37842,55.70%,44.30%,2494,35.20%,64.80%,4052,3951,101
University of Lisbon,50938,41%,59%,7059,28%,72%,3039,2896,143
Umea University,14041,35%,65%,1188,47%,53%,1927,1676,251
Universität Jena,17310,null,null,2161,null,null,2772,null,null
University Ulm,10629,33%,67%,1414,47%,53%,1383,1146,237
University at Buffalo SUNY,28232,30%,70%,5605,50%,50%,1468,1000,468
Northeastern University,20849,33%,67%,7475,41%,59%,1653,1198,455
Pontificia Universidad Católica Argentina,17024,13.80%,86.20%,null,null,null,3603,null,null
University of Jyväskyl?10173,46%,54%,511,6%,94%,1500,1253,247,
Westfälische Wilhelms-Universität Münster,43685,52%,48%,2894,38%,62%,4230,3730,500
Politecnico di Torino,31734,36%,64%,4289,57%,43%,1174,1160,14
City  University of London,14100,34%,66%,5492,55%,45%,799,532,267
University of Warsaw,40658,44.50%,55.50%,3157,48.80%,51.20%,3608,3435,173
Belarusian State University,21935,15%,85%,2508,84.20%,15.80%,3716,3540,176
Universit?Grenoble-Alpes,41296,35%,65%,5328,40%,60%,2429,2162,267
University of Porto,27804,28%,72%,1719,26%,74%,1750,1692,58
University of Utah,25788,26%,74%,2090,46%,54%,3071,2719,352
University of Chemistry and Technology  Prague,4285,44.60%,55.40%,866,51.20%,48.80%,702,643,59
Lincoln University,2286,28%,72%,918,47%,53%,228,151,77
University of the Philippines,39300,24.10%,75.90%,230,44.30%,55.70%,4318,4290,28
Universidade Federal do Rio de Janeiro,54957,24.70%,75.30%,null,null,null,3999,null,null
Brunel University London,11891,20%,80%,4519,68%,32%,819,456,363
Norwegian University of Science And Technology,34815,53%,47%,3011,19%,81%,2859,2180,679
Stony Brook University  State University of New York,24026,27%,73%,6338,64%,36%,2188,1749,439
Tokyo Medical and Dental University (TMDU),2999,50.40%,49.60%,247,6.50%,93.50%,918,902,16
The Katz School at Yeshiva University,5438,51%,49%,416,29%,71%,983,null,null
